Navn,Lengdegrad,Breddegrad
Den norske skole - Gran Canaria,-15.692120400000022,27.7783325
Den norske skolen i Rojales,-0.7269490999999562,38.0664348
The Norwegian School in London,-0.22649139999998624,51.4162875
Den norske skolen i Malaga,-4.541974200000027,36.60399960000001
Den norske skole - Costa Blanca,-0.113364700000034,38.595811
Norwegian Community School,36.72250340000005,-1.3365109
Costa Blanca Undervisning - Albir,-0.06675730000006297,38.5650444
SHAPE International School,3.978684899999962,50.5034862
Bergsbygda montessoriskole,9.72094,59.08514
Signo Grunn- og videregående skole AS,10.15271,59.31808
Hamarøy montessoriskole,15.34934,68.02333
Stiftelsen Asker International School,10.41732,59.82971
Kragerøskjærgården montessoriskole,9.47864,58.85822
Kjølsdalen montessoriskule SA,5.62573,61.91747
Kristen friskole AS,5.70301,58.95177
Halden montessoriskole AS,11.39657,59.11809
Fagerhaug International School AS,10.94562,63.47125
Helgen montessoriskole,9.35907,59.25626
Grønfjelldal montessoriskole SA,14.70906,66.34515
Kvalavåg montessoriskole AS,5.20725,59.32518
Childrens International School Fredrikstad AS,10.96241,59.20195
Sørhåland barneskole AS,5.2353,59.15524
Danielsen ungdomsskole Haugalandet AS,5.31215,59.38181
Danielsen ungdomsskule Frekhaug AS,5.2405,60.51314
Den Norske skolen i Kenya,10.78537,59.93109
Aalesund International School Sti,6.25108,62.46557
Nord-Dønna montessoriskole,12.54427,66.17542
Berg montessoriskole,17.29073,69.44731
Danielsen ungdomsskule Osterøy AS,5.43263,60.50662
Velledalen montessoriskule AS,6.64578,62.29167
Norlights montessoriskole Drammen AS,10.18181,59.7402
Wang Tønsberg AS,10.41573,59.29502
Hundeidvik privatskule AS,6.43751,62.37458
Hildre montessoriskule SA,6.35293,62.60382
Løkken Verk montessoriskole SA,9.70793,63.12623
Tinn montessoriskole SA,8.81899,60.0477
Trysil montessoriskole SA,12.49708,61.13513
Sandøya montessoriskole,9.72984,59.05037
Bleik og Omegn Montessori Skolelag,15.96502,69.27299
Kilebygda montessoriskole SA,9.43257,59.10654
Ølve montessoriskule SA,5.81452,60.01263
Torvikbukt skule SA,7.85887,62.94227
Valdres montessoriskule SA,9.10145,60.99862
Grytastranda montessoriskule,6.35453,62.53366
Stiftelsen Tromsø International School,18.96618,69.6814
Bjørgvin montessoriskole,5.35076,60.34985
Åse montessoriskole,15.80737,69.01578
Finnskogen montessoriskole Ba,12.28426,60.29833
Eidskog montessoriskole SA,11.99309,59.92635
Norges Toppidrettsgymnas ungdomsskole Bærum AS,10.59114,59.92561
Arendal International School (Ais),8.74147,58.43208
Bodalen friskole,7.58552,63.01223
Snåsa montessoriskole SA,12.52723,64.2787
Foreninga Norheimsund friskule,6.1858,60.34676
Tryggheim ungdomsskule,5.63596,58.67356
Brandal friskule,6.0061,62.40125
Reisa montessoriskole,21.11146,69.74545
Solør montessoriskole,12.07131,60.57507
Jærtun Lutherske friskule,5.66417,58.73021
Hosanger montessoriskule Sti,5.48548,60.57019
Markabygda montessoriskole SA,11.27818,63.63749
Møre barne- og ungdomsskule,5.80714,62.27855
Åmås friskule,6.19611,62.18221
Sandnes friskole AS,5.71712,58.82388
Steinkjer montessoriskole,11.47801,64.01442
Stiftelsen Trondheim International School,10.41373,63.42935
Stiftelsen Davinci montessoriskole,5.34799,60.36518                     # Hentet fra Google Maps
Wang Fredrikstad AS,10.92896,59.21256
Andørja montessoriskole,17.16436,68.91749
Holmedal montessoriskule,5.18777,61.36057
Stiftelsen International School Telemark,9.68147,59.10553
Venabygd montessoriskole,10.0497,61.59399
Hesnes skole montessoriskolen i Grimstad,8.61834,58.34352
Stiftelsen steinerskolen i Arendal,8.75454,58.47592
Vike montessoriskule SA,7.1489,62.61915
Oasen skole Birkelid AS,7.84612,58.12668
Molde friskole,7.12167,62.73742
Stiftelsen Vollen montessoriskole,10.47667,59.80523                     # Hentet fra Google Maps
Øvergård montessoriskole,19.44755,69.02122
Stiftelsen Lyngdal Kristne grunnskole,7.06781,58.12961
Hamar Montessori skole Sti,11.04787,60.82068
Fagerhaug Kristne skole SA,10.94562,63.47125
Stavanger Kristne grunnskole,5.69091,58.96039
Justøy skole - montessoriskolen i Lillesand Sti,8.36429,58.20972
St Eysteins skole,14.36665,67.27572
"Stiftelsen Trondheim Kristne Grunnskole, tomasskolen",10.41373,63.42935
Stiftelsen steinerskolen Rotvoll,10.48563,63.43889
Ørsnes privatskole,14.39505,68.20048
Danielsen barne- og ungdomsskule Sotra,5.13476,60.35229
Alta Kristne grunnskole SA,23.35157,69.96777
Lørenskog friskole,10.92921,59.93161                                    # Hentet fra Google Maps
Vollan skole,9.63438,62.57551
Samfundets skole Dvergsnes,8.07568,58.13895
Samfundets skole Oftenes,7.75758,58.07471
Oslo By steinerskole Sti,10.65591,59.95094                              # Hentet fra Google Maps - dobbeltsjekk at denne er riktig
Nordhordland Kristne grunnskole,5.2435,60.5645
Forus friskole - Bus,5.73925,58.88313
Bjørkly skole,11.47474,64.41061
Stiftelsen montessoriskolen Lyse,10.6429,59.93125
Hedemarken friskole,11.30444,60.80144
Steinerskolen på Nordstrand,10.79022,59.86193
Sauar friskole,9.28063,59.41963
Lycee Francais Rene Cassin Doslo,10.71729,59.91702
Vinnes friskule,5.58636,60.15304
Stiftelsen Bærum montessoriskole,10.57955,59.90689
Engesvea barne- og ungdomsskole,10.48371,61.09497
Adventkirken skole Nidelven,10.39062,63.42554
Torderød skole Adventistkirkens grunnskole,10.63914,59.43483
Vatneli skole,5.77235,58.8592
Mokollen skole,10.21145,59.14516
Østmarka skole,10.85275,59.89037
Rosendal skole,10.02568,59.74988
Møllebakken skole,5.33904,60.37813
Drøbak Montessori ungdomsskole AS,10.6352,59.67192
Elihu Kristne grunnskole,10.44366,59.26836
Vårtun Kristne oppvekstsenter SA,11.25154,63.74062
Bindalseidet skole SA,12.23195,65.12693
Ryenberget skole,10.80234,59.89883
Samfundets skole Egersund,6.00466,58.44527
Kristelig gymnasium AS grunnskole,10.72948,59.924
Bergen Kristne grunnskole,5.32024,60.33899
Stiftelsen montessoriskolen i Bergen,5.28364,60.34414
International School Of Bergen avd skole,5.28091,60.2948
Steinerskolen i Hurum Sti,10.4958,59.63306
International School Of Stavanger avd Undervisning,5.65417,58.95005
Steinerskolen Gjøvik-Toten,10.69987,60.78819
Steinerskolen i Asker skole,10.49502,59.86135
Stiftelsen Lillehammer steinerskole,10.42448,61.09985
Steinerskolen Stavanger grunnskole,5.73421,58.93885
Øya videregående skole,10.27536,63.23681
Steinerskolen i Haugesund,5.29963,59.41864
Steinerskolen i Trondheim grunnskole,10.37290,63.43064                                  # Hentet fra Google Maps    
Steinerskolen i Bærum Grunnskoleundervisning,10.60565,59.93
Rudolf steinerskolen i Oslo Sti,10.65886,59.94917
St Sunniva skole avd Undervisning,10.74521,59.91878
St. Franciskus skole,8.76531,58.45792
Samfundets skole Sentrum,7.99474,58.1499
St Paul skole,5.32358,60.38879
Straumfjordnes skole,21.21667,69.86909
Granly skole,10.41781,59.29085
Bjerkely skole,10.36491,59.38501
Moe skole,10.19795,59.14296
Oks friskole Sti,11.01479,59.9815
Vikten skole,13.3127,68.13873
Steinerskolen i Ås,10.81147,59.68657
Oslo montessoriskole,10.69312,59.96375
Skagerak International School Sti,10.23137,59.12004
Gamleveien skole,6.01225,58.45701
Ringerike steinerskole Sti,10.37506,60.20934
Steinerskolen på Skjold Helseped Avdeling,5.32901,60.31017
Stiftelsen steinerskolen på Skjold,5.32901,60.31017
Steinerskolen Ålesund,6.26629,62.46194
Birralee International School Trondheim AS avd skole,10.39013,63.42701
Ekrehagen skole Adventistsamfunnets Grunnskoler,18.95503,69.68610                       # Hentet fra Google Maps
Foreningen Danielsen ungdomsskole Bergen,5.33508,60.39201
Rudolf steinerskolen i Bergen skolen,5.34308,60.34368
Steinerskolen i Vestfold,10.39467,59.23991
Tønsberg Montessori skole Sti,10.42432,59.33172
Steinerskolen på Hedemarken avd grunnskolen Ottestad,11.1034,60.77756
Rudolf steinerskolen stiftelsen avd Undervisning,10.67416,59.84457
Steinerskolen i Moss Grunnskole/Adm,10.69718,59.46358
Steinerskolen i Fredrikstad,10.9979,59.26662
Oslo International School,10.58345,59.91956
Haugesund Toppidrettsgymnas AS,5.27431,59.42576
Stiftelsen steinerskolen i Indre Østfold,11.12423,59.58636
Skauen Kristelige skole,9.63099,59.19426
Val Skoler AS avd grunnskole,11.42312,64.78575
Akademiet ungdomsskole Drammen AS,10.18141,59.73982
Akademiet ungdomsskole Asker AS,10.45233,59.82552
Frikult grunnskole AS,14.09213,66.33781
Akademiet Realfagsungdomsskole Ålesund AS,6.15031,62.4734
Drøbak Montessori barneskole AS,10.63498,59.66306
Montessori Horten AS,10.42986,59.43541
Grimstad International School AS,8.58078,58.33753
Hans Nielsen Hauge grunnskole Oslo,10.69099,59.96220                                    # Hentet fra Google Maps
Sandstrand Montessoriforening,16.80358,68.6816
Stiftelsen Bodø International School,14.58755,67.29175                                  # Hentet fra Google Maps
Skien steinerskole AS,9.59315,59.23088
Stiftelsen Den Tysk-Norske skolen i Oslo avd grunnskole og videregående,10.75914,59.93637
Norges Toppidrettsgymnas ungdomsskole Asker AS,10.45233,59.82552
"Heimdal Friskole, Kristen grunnskole Heimdal",10.35149,63.36135
Oasen skole Vennesla AS,7.97015,58.27774
Skarnsundet montessoriskole SA,11.00676,63.81896
Stord Kristne skule AS,5.485,59.77872
Trondheim idrettsungdomsskole AS,10.45906,63.44256
Fiksdal friskule SA,6.85761,62.61732
Tresfjord Enspire skule,7.12746,62.51939
Fresvik Enspire skule AS,6.93118,61.06621
Norges Toppidrettsgymnas ungdomsskole Bergen AS,5.35898,60.36712
Telemark Toppidrett ungdomsskole Porsgrunn AS,9.67016,59.13965
Akademiet ungdomsskole Lier AS,10.25233,59.76917
Bryggja skule AS,5.45155,61.94246
Childrens International School Sarpsborg AS,11.09572,59.2921
Hjartdal montessoriskule Sti,8.70046,59.60681
Hurdal steinerskole,11.05092,60.40863
Stiftinga Tuddal montessoriskule,8.78749,59.75579
Akademiet realfagsskole Oslo AS,10.7725,59.93356
Biss Sentrum AS,5.71299,58.97514
Elsfjord montessoriskole SA,13.54507,66.10355
Wang Ung Follo AS,10.82348,59.79930                                                 # Hentet fra Google Maps
Helgådal Montessori SA,11.90368,63.82074
Kongsvinger montessoriskole SA,12.01812,60.174
Voll skole AS,9.83776,62.87648
Wang Ung Sandefjord AS,10.1848,59.1486
Fagerenget montessoriskole SA,9.88536,63.8737
Akademiet realfagsskole Drammen AS,10.17168,59.7486
Hjellvik montessoriskule,5.40816,60.55116
Dalsgrenda montessoriskole SA,13.99432,66.24875
Strandvik Vekst AS,5.66499,60.15934
Steinsfjorden montessoriskole SA,10.3514,60.12857
Stette friskule SA,6.60443,62.52422
Norges Toppidrettsgymnas ungdomsskole Bodø AS,14.38304,67.27618
Trondheim Montessori,10.48351,63.43896
Wang Ung Stavanger AS,5.70006,58.9546
Ringerike Montessori AS,10.16669,60.13551
Oasen skole Strømme AS grunnskole,8.07752,58.15521
Telemark Toppidrett ungdomsskole Skien AS,9.5906,59.21222
Skodvin montessoriskule,5.2295,60.69473
Senja montessoriskole,17.62833,69.5048
Norlights International School Oslo AS,10.69287,59.96258
Neverdal Enspire skole AS,13.77594,66.83442
Haugesund International School Sti,5.24482,59.39037
Haldde montessoriskole SA,23.01776,69.93139
Norges Toppidrettsgymnas ungdomsskole Kongsvinger AS,12.00542,60.19129
Norges Toppidrettsgymnas ungdomsskole Tromsø AS,18.95455,69.67397
Kongshaugen Kristne grunnskole,10.11309,59.10352
Norges Toppidrettsgymnas ungdomsskole Lillehammer AS,10.47277,61.125
Sandnes International School AS,5.74173,58.88292
Romerike International School Sti,11.33918,60.12708
Kolbeinsvik montessoriskule,5.19941,60.0432
Olavsborg Kristne skole,11.09572,59.2921
Åmot montessoriskole SA,11.46301,61.30173
Humanistskolen,10.73282,59.94856
Drottningborg ungdomsskole AS,8.58078,58.33753
Vigmostad skole,7.33742,58.20192
Wang Ung Oslo AS,10.79318,59.92682
Innfjorden friskole SA,7.56052,62.49358
Jennestad montessoriskole,15.3022,68.75064
Indre Kåfjord barne- og ungdomsskole,20.9207,69.46923
Harstad montessoriskole SA,16.586,68.787
Gjøvikregionen International School Sti,10.67782,60.7875
Norlights montessoriskole Stavanger AS,5.72333,58.89334
Wang Hamar AS,11.03811,60.80167
Møre barne- og ungdomsskule Skodje AS,6.50676,62.48411
Momo waldorfskole AS,10.35149,63.36135
Hoppensprett Akademiet AS avd ungdomsskole,11.18266,60.15228
Nordborg ungdomsskole,17.99604,69.23026
Montessoriskolen Morgan AS,17.32728,68.74081
Hoppensprett Akademiet Brårud AS,11.33235,60.21297                                  # Hentet fra Google Maps
Narvik montessoriskole,17.43929,68.41266
Lisleherad montessoriskole SA,9.27139,59.59907
Eltoft montessoriskole AS,13.68908,68.24139
Oasen skole Mandal AS,7.4549,58.0336
Overhalla montessoriskole SA,12.05537,64.46429
Kfskolen - Jørpeland,6.02524,59.02712
Opdøl montessoriskole Barne og ungdomsskole,13.65269,68.18674
Skaugdalen montessoriskole SA,10.14745,63.65203
Tryggheim Strand AS,5.92013,59.06734
Ulvestad barneskule AS,5.9314,62.16595
Danielsen ungdomsskole Karmøy AS,5.24468,59.2881
Oasen skole Grenland AS,9.56798,59.20725
Toten montessoriskole,10.73428,60.59788
Holmestrand Internasjonale montessoriskole Sti,10.32171,59.47714
Stiftelsen Kongsberg International School,9.64268,59.67608                          # Hentet fra Google Maps
Nyskolen i Oslo grunnskole,10.83882,59.86345
Steinerskolen på Eidsvoll,11.24116,60.28651
Nidaros idrettsungdomsskole Sti,10.38058,63.36776
Buen barne- og ungdomsskole,10.68449,59.41884
"Stiftelsen Møre barne- og Ungdomsskule, Ålesund",6.39917,62.43412
Tyrifjord barne- og ungdomsskole,10.17166,60.06845
Stiftelsen steinerskolen i Kristiansand,8.01523,58.15918
Steinerskolen i Tromsø Sti,18.93474,69.64095
Rudolf steinerskolen Lørenskog Sti,10.93832,59.91315
Hans Nielsen Hauges grunnskole Follo AS,10.80432,59.81297
"Skagerak International School, Tønsberg AS",10.40571,59.27051
Tverlandet montessoriskole SA,12.91505,66.01369
Wang Romerike AS,10.95199,59.94674
Discovery International School AS,10.36781,60.20555
Biss Gausel Sti,5.73376,58.89721
Oasen skole Vågsbygd AS,7.94784,58.1197
Norges Realfagsungdomsskole Sandvika AS,10.52295,59.89667
Kongstun Kristne friskole,5.8355,58.77827
Wang Ung Sandnes AS,5.72297,58.85992
Children's International School Moss AS,10.66851,59.43952
Hjuksebø montessoriskole SA,9.3331,59.50849
